id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
AA-42959,12134,76,10892,64
AA-51228,11758,96,10936,62
AA-43272,11992,53,10974,60
AA-51055,11682,52,11015,58
AA-51227,11988,93,11050,57
AA-42958,11865,70,11085,55
AA-51054,11825,62,11123,53
AA-51226,11972,94,11158,51
AA-43271,12121,63,11206,49
AA-42957,11992,91,11253,47
AA-51235,11830,74,11310,44
AA-51053,11804,42,11370,41
AA-42956,11820,61,11427,38
AA-50382,11645,57,11470,36
AA-51238,11670,73,11515,35
AA-42955,11380,69,11562,33
AA-51237,11316,68,11594,32
AA-43270,11656,61,11633,32
AA-51239,11673,51,11677,31
AA-50381,11864,56,11758,30
AA-42953,11733,83,11829,30
AA-43273,11896,62,11844,30
AA-51234,11794,74,11883,30
AA-42952,12030,63,11915,30
AA-51241,12158,120,11942,30
AA-42951,12060,76,11995,32
AA-50380,12135,57,12012,36
AA-50379,12034,57,12024,39
AA-42950,12048,63,12035,43
AA-51236,11766,92,12045,47
AA-50378,11989,64,12053,49
AA-42949,12380,71,12062,51
AA-50377,12519,59,12073,53
AA-51233,12673,82,12083,54
AA-51240,11889,60,12089,55
AA-42948,12599,70,12092,55
AA-51232,12508,86,12119,56
AA-51231,12615,93,12130,56
AA-42947,12796,121,12143,56
AA-51230,12842,87,12153,56
AA-51229,12998,117,12170,56
AA-50958,13159,47,12176,56
AA-42946,13034,74,12189,56
AA-50957,13077,76,12193,56
AA-50955,12977,45,12231,55
AA-50954,13000,51,12251,54
AA-50953,12889,47,12272,53
AA-50952,12896,45,12297,52
AA-50376,13049,75,12322,51
AA-50951,13062,46,12344,50
AA-50372,12976,62,12365,49
AA-50375,13017,45,12392,48
AA-50950,13011,46,12416,47
AA-50371,13129,65,12449,46
AA-50949,12936,45,12478,46
AA-50370,13101,68,12538,45
AA-50374,13165,63,12573,45
AA-50947,13346,69,12603,45
AA-50373,12814,55,12632,45
AA-50369,13128,63,12647,46
AA-50946,13065,49,12689,46
AA-50945,13050,47,12718,46
AA-50368,13079,62,12744,47
AA-50944,13018,47,12770,47
AA-50943,12934,44,12793,47
AA-50367,12876,67,12826,47
AA-52161,13339,73,12897,47
AA-52162,13472,73,12916,47
AA-52163,13407,89,12936,47
AA-52164,13092,86,12957,46
AA-51198,13281,79,12978,46
AA-52165,13145,105,12999,46
AA-52166,13139,98,13020,46
AA-52167,13269,83,13039,46
AA-52169,13352,77,13078,45
AA-52170,13155,82,13096,45
AA-52171,13532,89,13113,45
AA-52173,13502,77,13132,44
AA-51199,13424,110,13165,42
AA-52174,13413,77,13178,42
AA-52175,13371,75,13190,41
AA-52176,13261,85,13200,41
AA-52177,13422,77,13209,40
AA-51200,13315,76,13216,40
AA-52179,13270,82,13224,39
AA-52180,13325,87,13230,39
AA-52181,13177,63,13235,39
AA-52182,13352,99,13240,39
AA-51201,13481,64,13245,40
AA-52183,13359,83,13251,41
AA-52184,13523,63,13254,41
AA-51202,13869,58,13268,44
AA-52186,13525,72,13278,45
AA-52188,13372,63,13297,48
AA-52189,13433,63,13305,49
AA-52190,13384,92,13313,50
AA-52191,13433,66,13326,51
AA-52192,13402,76,13343,53
AA-52194,13838,72,13380,54
AA-51203,13766,94,13402,54
AA-52195,13830,70,13423,54
AA-52196,13712,64,13445,54
AA-52198,13460,71,13488,52
AA-51204,14139,93,13511,50
AA-52199,14058,66,13534,48
AA-52200,14112,77,13557,46
AA-51205,14141,84,13580,44
AA-52578,14141,98,13618,40
AA-52579,14089,77,13640,38
AA-52582,14014,150,13710,33
AA-52584,14078,83,13756,31
AA-52586,14102,77,13808,30
AA-52588,14377,88,13862,29
AA-52589,14333,72,13892,29
AA-52590,14379,130,13923,29
AA-52594,14159,72,14040,29
